Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,24.00,24.450001,23.50,23.50,3700,23.50
2017-04-10,23.90,23.90,23.10,23.10,200,23.10
2017-04-03,21.93,24.58,21.93,24.50,100,24.50
2017-03-27,21.639999,22.40,21.639999,21.93,100,21.93
2017-03-20,22.17,22.17,21.719999,21.719999,300,21.719999
2017-03-13,21.00,22.17,21.00,22.17,300,22.17
2017-03-06,21.60,21.60,20.91,21.00,500,21.00
2017-02-27,21.60,21.60,21.60,21.60,000,21.60
2017-02-21,18.25,21.60,18.25,21.60,700,21.60
2017-02-13,18.01,18.25,18.01,18.25,100,18.25
2017-02-06,18.16,18.35,18.00,18.01,200,18.01
2017-01-30,18.10,18.280001,17.92,18.16,1400,18.16
2017-01-23,17.780001,19.00,17.780001,19.00,500,19.00
2017-01-17,18.23,18.23,18.23,18.23,000,18.23
2017-01-09,18.379999,18.379999,18.00,18.299999,100,18.299999
2017-01-03,18.379999,18.379999,18.379999,18.379999,000,18.379999
2016-12-27,17.65,18.299999,17.65,18.299999,100,18.299999
2016-12-19,17.65,17.65,17.65,17.65,000,17.65
2016-12-12,17.65,17.65,17.65,17.65,000,17.65
2016-12-05,17.65,17.65,17.65,17.65,000,17.65
2016-11-28,17.65,17.65,17.65,17.65,000,17.65
2016-11-21,17.65,17.65,17.65,17.65,000,17.65
2016-11-14,16.700001,17.65,16.700001,17.65,000,17.65
2016-11-07,16.08,16.700001,16.059999,16.700001,200,16.700001
2016-10-31,16.34,16.440001,16.15,16.15,7200,16.15
2016-10-24,17.299999,17.299999,16.440001,16.440001,1900,16.440001
2016-10-17,16.950001,17.299999,16.950001,17.299999,000,17.299999
2016-10-10,16.940001,16.950001,16.940001,16.950001,700,16.950001
2016-10-03,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-09-26,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-09-19,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-09-12,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-09-06,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-08-29,16.940001,16.940001,16.940001,16.940001,000,16.940001
2016-08-22,19.35,19.35,16.940001,16.940001,400,16.940001
2016-08-15,19.35,19.35,19.35,19.35,000,19.35
2016-08-08,19.35,19.35,19.35,19.35,000,19.35
2016-08-01,19.10,19.35,19.10,19.35,000,19.35
2016-07-25,19.10,19.10,19.10,19.10,000,19.10
2016-07-18,18.35,19.10,18.35,19.10,000,19.10
2016-07-11,18.35,18.35,18.35,18.35,000,18.35
2016-07-05,20.290001,20.290001,18.35,18.35,100,18.35
2016-06-27,20.290001,20.290001,20.290001,20.290001,000,20.290001
2016-06-20,20.290001,20.290001,20.290001,20.290001,000,20.290001
2016-06-13,20.290001,20.290001,20.290001,20.290001,000,20.290001
2016-06-06,21.440001,21.440001,20.290001,20.290001,000,20.290001
2016-05-31,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-05-23,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-05-16,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-05-09,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-05-02,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-04-25,21.440001,21.440001,21.440001,21.440001,000,21.440001
2016-04-22,21.440001,21.440001,21.440001,21.440001,000,21.440001
