Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,4.41,4.43,4.25,4.29,382100,4.29
2017-04-10,4.38,4.40,4.32,4.37,269500,4.37
2017-04-03,4.47,4.63,4.42,4.44,204600,4.44
2017-03-27,4.46,4.56,4.43,4.50,280100,4.50
2017-03-20,4.43,4.55,4.41,4.53,267700,4.53
2017-03-13,4.35,4.49,4.25,4.49,641300,4.49
2017-03-06,4.60,4.61,4.26,4.31,582500,4.31
2017-02-27,4.63,4.65,4.42,4.63,517600,4.63
2017-02-21,4.75,4.78,4.60,4.67,1195500,4.67
2017-02-13,4.78,4.86,4.67,4.70,417900,4.70
2017-02-06,4.97,5.00,4.77,4.77,1293100,4.77
2017-01-30,5.00,5.07,4.89,5.03,619800,5.03
2017-01-23,4.92,5.14,4.91,5.08,443600,5.08
2017-01-17,5.19,5.24,4.95,5.00,687200,5.00
2017-01-09,5.16,5.33,5.13,5.31,673400,5.31
2017-01-03,5.19,5.24,5.10,5.18,273200,5.18
2016-12-27,4.92,5.10,4.91,5.09,486900,5.09
2016-12-19,5.09,5.12,4.88,4.91,896300,4.91
2016-12-12,5.24,5.32,5.03,5.08,825700,5.08
2016-12-05,4.83,4.92,4.75,4.91,487900,4.91
2016-11-28,4.62,4.84,4.49,4.78,411700,4.78
2016-11-21,4.68,4.72,4.60,4.70,281800,4.70
2016-11-14,4.43,4.60,4.40,4.56,461400,4.56
2016-11-07,4.31,4.67,4.30,4.51,516900,4.51
2016-10-31,4.31,4.48,4.24,4.28,310600,4.28
2016-10-24,4.29,4.32,4.21,4.23,194300,4.23
2016-10-17,4.26,4.32,4.24,4.28,187900,4.28
2016-10-10,4.39,4.47,4.25,4.27,242900,4.27
2016-10-03,4.30,4.35,4.24,4.34,430700,4.34
2016-09-26,4.19,4.27,4.11,4.23,603300,4.23
2016-09-19,4.18,4.26,4.11,4.18,465100,4.18
2016-09-12,4.20,4.28,4.13,4.16,275000,4.16
2016-09-06,4.28,4.43,4.22,4.23,1004100,4.23
2016-08-29,4.12,4.17,4.04,4.13,199100,4.13
2016-08-22,4.17,4.24,4.09,4.14,664000,4.14
2016-08-15,4.25,4.31,4.21,4.24,256100,4.24
2016-08-08,4.18,4.25,4.15,4.20,402200,4.20
2016-08-01,4.09,4.12,3.93,4.11,451500,4.11
2016-07-25,4.30,4.33,4.06,4.11,467300,4.11
2016-07-18,4.55,4.58,4.28,4.31,272700,4.31
2016-07-11,4.34,4.61,4.33,4.58,372700,4.336404
2016-07-05,4.32,4.37,4.24,4.33,178200,4.099701
2016-06-27,4.24,4.37,4.15,4.36,206800,4.128106
2016-06-20,4.39,4.48,4.19,4.27,228800,4.042892
2016-06-13,4.27,4.36,4.13,4.30,262600,4.071297
2016-06-06,4.42,4.56,4.31,4.34,226800,4.109169
2016-05-31,4.43,4.44,4.17,4.31,249200,4.080765
2016-05-23,4.24,4.55,4.23,4.47,239500,4.232255
2016-05-16,4.93,4.98,4.30,4.33,564300,4.099701
2016-05-09,4.79,4.95,4.68,4.80,334000,4.544703
2016-05-02,5.18,5.18,4.74,4.79,324800,4.535235
2016-04-25,4.80,5.25,4.72,5.19,584000,4.91396
2016-04-22,4.83,4.87,4.75,4.76,263800,4.506831
