Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,10.88,11.58,10.88,11.51,122100,11.51
2017-04-10,11.14,11.22,10.76,10.98,675500,10.98
2017-04-03,11.63,12.22,11.45,11.47,95700,11.47
2017-03-27,11.59,11.85,11.52,11.53,110900,11.53
2017-03-20,11.68,11.88,11.31,11.86,222200,11.86
2017-03-13,11.02,11.63,10.87,11.60,157700,11.60
2017-03-06,11.50,11.50,10.67,10.95,129700,10.95
2017-02-27,11.37,11.60,10.84,11.59,291000,11.59
2017-02-21,11.77,11.92,11.52,11.56,232600,11.56
2017-02-13,11.51,11.76,11.48,11.50,322800,11.50
2017-02-06,11.95,11.95,11.46,11.51,910500,11.51
2017-01-30,11.90,12.10,11.52,11.94,84900,11.94
2017-01-23,11.34,12.18,11.34,12.10,303200,12.10
2017-01-17,11.31,11.43,11.16,11.39,92200,11.39
2017-01-09,11.46,11.67,11.16,11.24,102700,11.24
2017-01-03,12.10,12.24,11.65,11.69,134900,11.69
2016-12-27,11.42,11.63,11.41,11.58,138800,11.58
2016-12-19,11.64,11.90,11.27,11.38,507200,11.38
2016-12-12,11.84,12.04,11.37,11.45,222100,11.45
2016-12-05,10.45,11.25,10.22,11.23,247800,11.23
2016-11-28,10.15,11.11,9.85,10.24,242600,10.24
2016-11-21,9.78,10.26,9.77,10.19,321500,10.19
2016-11-14,9.32,9.66,9.26,9.51,77600,9.51
2016-11-07,9.18,9.91,9.18,9.53,159300,9.53
2016-10-31,9.52,9.52,8.87,8.93,83800,8.93
2016-10-24,9.79,9.97,9.55,9.55,285200,9.55
2016-10-17,9.46,9.75,9.41,9.74,75800,9.74
2016-10-10,9.89,9.97,9.40,9.47,218000,9.47
2016-10-03,9.71,9.88,9.56,9.75,170700,9.75
2016-09-26,9.60,9.63,9.34,9.42,237700,9.42
2016-09-19,9.46,10.00,9.38,9.63,85300,9.63
2016-09-12,9.51,9.72,9.36,9.36,50700,9.36
2016-09-06,9.62,10.01,9.61,9.68,114100,9.68
2016-08-29,9.22,9.36,9.07,9.35,69000,9.35
2016-08-22,8.63,9.35,8.63,9.23,77400,9.23
2016-08-15,9.01,9.01,8.66,8.69,144200,8.69
2016-08-08,8.90,9.07,8.82,8.88,160400,8.88
2016-08-01,8.64,8.83,8.34,8.77,117000,8.77
2016-07-25,8.74,8.86,8.43,8.85,98300,8.85
2016-07-18,9.19,9.33,8.88,8.90,66600,8.90
2016-07-11,9.01,9.38,8.99,9.10,128300,9.10
2016-07-05,8.66,8.87,8.28,8.83,196700,8.83
2016-06-27,8.20,8.88,8.03,8.83,167600,8.83
2016-06-20,8.61,9.04,8.45,8.45,186900,8.45
2016-06-13,8.21,8.40,7.90,8.33,138600,8.33
2016-06-06,8.52,9.06,8.46,8.60,120700,8.481
2016-05-31,8.50,8.55,8.10,8.40,169000,8.283767
2016-05-23,7.48,8.53,7.48,8.53,145900,8.411968
2016-05-16,7.92,7.94,7.48,7.54,90200,7.435668
2016-05-09,7.54,8.00,7.45,7.71,138000,7.603315
2016-05-02,8.01,8.04,7.51,7.63,632700,7.524422
2016-04-25,7.77,8.15,7.52,8.02,156100,7.909026
2016-04-22,7.77,7.85,7.71,7.72,117700,7.613176
