Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,5.60,5.60,5.60,5.60,000,5.60
2017-04-10,5.60,5.60,5.60,5.60,000,5.60
2017-04-03,5.60,5.60,5.60,5.60,000,5.60
2017-03-27,5.32,5.693,5.32,5.60,10200,5.60
2017-03-20,5.30,5.32,5.30,5.32,900,5.32
2017-03-13,5.25,5.30,5.25,5.30,000,5.30
2017-03-06,5.75,5.75,5.21,5.25,1000,5.25
2017-02-27,5.95,5.95,5.50,5.75,300,5.75
2017-02-21,5.98,6.06,5.97,5.97,8800,5.97
2017-02-13,6.43,6.58,6.40,6.58,900,6.58
2017-02-06,6.50,6.70,6.40,6.50,5100,6.50
2017-01-30,6.74,6.80,6.627,6.70,3400,6.70
2017-01-23,6.60,6.75,6.527,6.70,900,6.70
2017-01-17,6.55,6.55,6.55,6.55,000,6.55
2017-01-09,6.62,6.75,6.55,6.55,2700,6.55
2017-01-03,6.43,6.43,6.43,6.43,000,6.43
2016-12-27,6.29,6.51,6.25,6.43,3700,6.43
2016-12-19,6.557,6.63,6.35,6.35,1800,6.35
2016-12-12,6.145,6.70,6.145,6.65,20100,6.65
2016-12-05,5.38,5.60,5.38,5.60,200,5.60
2016-11-28,5.05,5.30,5.00,5.30,1200,5.30
2016-11-21,5.33,5.38,5.33,5.38,500,5.38
2016-11-14,5.33,5.33,5.33,5.33,000,5.33
2016-11-07,5.33,5.33,5.33,5.33,000,5.33
2016-10-31,5.44,5.44,5.33,5.33,100,5.33
2016-10-24,5.44,5.44,5.44,5.44,000,5.44
2016-10-17,5.496,5.57,5.44,5.44,2200,5.44
2016-10-10,5.40,5.69,5.40,5.69,600,5.69
2016-10-03,5.55,5.55,5.40,5.40,000,5.40
2016-09-26,5.35,5.55,5.35,5.55,400,5.55
2016-09-19,5.52,5.52,5.52,5.52,000,5.52
2016-09-12,5.70,5.70,5.52,5.52,400,5.52
2016-09-06,5.41,5.70,5.41,5.70,200,5.70
2016-08-29,5.28,5.41,5.28,5.41,200,5.41
2016-08-22,5.30,5.30,5.28,5.28,1000,5.28
2016-08-15,5.21,5.21,5.21,5.21,600,5.21
2016-08-08,4.80,5.20,4.80,5.20,000,5.20
2016-08-01,5.12,5.12,4.60,4.80,400,4.80
2016-07-25,5.12,5.12,5.12,5.12,200,5.12
2016-07-18,5.12,5.12,5.12,5.12,000,5.12
2016-07-11,5.06,5.25,5.06,5.25,1000,5.25
2016-07-05,5.06,5.06,5.06,5.06,000,5.06
2016-06-27,5.05,5.06,5.05,5.06,100,5.06
2016-06-20,5.04,5.29,5.04,5.05,1400,5.05
2016-06-13,5.04,5.04,5.04,5.04,000,4.870412
2016-06-06,4.90,5.04,4.90,5.04,900,4.870412
2016-05-31,4.90,4.90,4.90,4.90,000,4.735123
2016-05-23,4.75,4.95,4.75,4.90,200,4.735123
2016-05-16,5.125,5.125,5.125,5.125,000,4.952552
2016-05-09,5.125,5.125,5.125,5.125,000,4.952552
2016-05-02,5.40,5.50,5.125,5.125,1300,4.952552
2016-04-25,5.05,5.40,5.00,5.40,2200,5.218299
2016-04-22,5.00,5.00,5.00,5.00,400,4.831758
