Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,15.55,15.83,14.90,15.00,30800,15.00
2017-04-10,15.70,15.89,15.52,15.55,23700,15.55
2017-04-03,15.89,16.34,15.74,15.84,33700,15.84
2017-03-27,15.61,15.97,15.58,15.69,40900,15.69
2017-03-20,15.75,16.120001,15.66,15.91,26400,15.91
2017-03-13,15.28,16.030001,15.20,16.030001,57200,16.030001
2017-03-06,16.129999,16.129999,14.70,15.00,78000,15.00
2017-02-27,16.200001,16.200001,15.81,16.09,33300,16.09
2017-02-21,16.68,16.84,16.110001,16.18,28100,16.18
2017-02-13,17.17,17.440001,16.68,16.719999,26300,16.719999
2017-02-06,17.01,17.33,16.83,17.309999,17900,17.309999
2017-01-30,16.41,17.620001,16.110001,17.18,34400,17.18
2017-01-23,15.86,16.58,15.82,16.52,56800,16.52
2017-01-17,16.379999,16.389999,15.61,15.74,27800,15.74
2017-01-09,17.00,17.74,16.35,16.43,51500,16.43
2017-01-03,17.35,17.35,16.870001,17.08,63200,17.08
2016-12-27,16.379999,16.92,16.370001,16.92,45600,16.92
2016-12-19,16.860001,17.120001,16.24,16.42,293000,16.42
2016-12-12,18.18,18.389999,16.90,17.18,246300,16.490191
2016-12-05,17.620001,18.18,17.549999,18.10,76300,17.373249
2016-11-28,16.92,17.32,16.65,17.24,286600,16.547781
2016-11-21,16.49,17.059999,16.440001,16.73,131400,16.058258
2016-11-14,16.35,16.98,16.309999,16.42,310700,15.760705
2016-11-07,14.89,16.59,14.85,16.219999,115700,15.568735
2016-10-31,14.94,15.21,14.43,14.64,22400,14.052176
2016-10-24,15.28,15.47,15.02,15.03,21600,14.426516
2016-10-17,15.04,15.39,15.00,15.38,17700,14.762463
2016-10-10,15.46,15.55,15.06,15.34,63900,14.72407
2016-10-03,16.00,16.030001,15.41,15.41,14200,14.791258
2016-09-26,15.67,16.27,15.47,16.049999,21100,15.40556
2016-09-19,15.25,15.68,15.08,15.54,21600,14.916039
2016-09-12,15.30,15.53,14.97,14.98,8700,14.378523
2016-09-06,15.64,15.89,15.50,15.51,8000,14.887243
2016-08-29,14.83,15.35,14.83,15.30,9900,14.685676
2016-08-22,15.66,15.74,15.03,15.08,46100,14.474508
2016-08-15,15.93,16.00,15.31,15.65,42800,15.021622
2016-08-08,15.47,15.88,15.47,15.55,54900,14.925637
2016-08-01,14.85,15.33,14.74,15.32,459000,14.704872
2016-07-25,14.82,14.82,14.16,14.72,47800,14.128963
2016-07-18,15.09,15.10,14.52,14.90,20000,14.301736
2016-07-11,13.95,15.10,13.92,14.98,118400,14.378523
2016-07-05,13.89,13.94,13.56,13.71,24500,13.159516
2016-06-27,12.71,13.37,12.70,13.29,10000,12.75638
2016-06-20,12.97,13.27,12.62,12.80,15100,12.286056
2016-06-13,13.43,13.52,12.76,13.15,16900,12.285095
2016-06-06,13.91,13.98,13.49,13.50,27700,12.612075
2016-05-31,14.20,14.24,13.42,13.75,32800,12.845632
2016-05-23,13.67,14.33,13.64,14.26,12000,13.322088
2016-05-16,14.08,14.27,13.86,13.90,15200,12.985765
2016-05-09,13.38,14.14,13.17,13.89,28300,12.976424
2016-05-02,14.78,14.78,13.33,13.47,45900,12.584048
2016-04-25,14.69,15.18,14.50,14.77,8700,13.798545
2016-04-22,14.78,14.85,14.65,14.73,12000,13.761174
