Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,13.60,13.801,13.151,13.78,2400,13.78
2017-04-10,14.16,14.16,13.174,13.60,6900,13.60
2017-04-03,13.85,14.55,13.801,14.20,7100,14.20
2017-03-27,13.306,14.339,13.05,13.80,2900,13.80
2017-03-20,13.00,13.55,12.546,13.549,4300,13.549
2017-03-13,11.526,13.098,11.44,12.999,8600,12.999
2017-03-06,13.50,14.116,11.712,11.712,9400,11.712
2017-02-27,13.317,14.59,12.70,13.749,19300,13.749
2017-02-20,13.826,14.25,13.197,13.341,19700,13.341
2017-02-13,14.46,14.792,13.80,13.95,11600,13.95
2017-02-06,14.82,15.209,14.09,14.351,7700,14.351
2017-01-30,12.99,15.00,12.851,14.82,41300,14.82
2017-01-23,12.451,13.399,12.45,13.399,12600,13.399
2017-01-16,12.261,12.85,12.26,12.499,8000,12.499
2017-01-09,11.46,12.578,11.302,12.26,17900,12.26
2017-01-02,12.00,12.44,11.60,11.601,10100,11.601
2016-12-26,11.729,11.99,11.375,11.60,13400,11.60
2016-12-19,11.509,12.732,11.509,11.729,16900,11.729
2016-12-12,11.306,11.967,11.22,11.60,23600,11.60
2016-12-05,9.82,11.399,9.82,11.199,4500,11.199
2016-11-28,9.462,10.228,9.201,9.90,11500,9.90
2016-11-21,9.318,9.65,9.30,9.441,6400,9.441
2016-11-14,9.00,9.648,8.901,9.489,2000,9.489
2016-11-07,9.109,9.649,8.40,8.95,9100,8.95
2016-10-31,9.55,9.749,9.35,9.50,5000,9.50
2016-10-24,9.25,9.879,9.25,9.411,9400,9.411
2016-10-17,8.50,9.22,8.351,9.201,4600,9.201
2016-10-10,8.65,8.898,8.27,8.27,4400,8.27
2016-10-03,8.28,9.122,8.28,8.78,6300,8.78
2016-09-26,7.698,8.28,7.698,8.28,3000,8.28
2016-09-19,6.871,7.97,6.871,7.97,12900,7.97
2016-09-12,6.99,7.145,6.718,7.09,3200,7.09
2016-09-05,6.815,7.30,6.815,6.984,2900,6.984
2016-08-29,6.40,6.87,6.222,6.861,8300,6.861
2016-08-22,5.80,6.399,5.80,6.399,6300,6.399
2016-08-15,5.882,6.05,5.77,5.913,5700,5.913
2016-08-08,5.903,6.04,5.703,5.98,11500,5.98
2016-08-01,6.15,6.15,5.50,5.88,3500,5.88
2016-07-25,6.336,6.336,6.20,6.201,1500,6.201
2016-07-18,6.425,6.425,6.20,6.337,2000,6.337
2016-07-11,6.016,6.44,6.016,6.181,3200,6.181
2016-07-04,5.80,6.20,5.80,6.021,4100,6.021
2016-06-27,5.60,6.099,5.59,6.099,7900,6.099
2016-06-20,5.74,5.866,5.602,5.866,7300,5.866
2016-06-13,5.437,5.85,5.437,5.834,8400,5.834
2016-06-06,5.797,5.949,5.482,5.769,14200,5.769
2016-05-30,5.58,5.713,5.172,5.713,5100,5.713
2016-05-23,5.20,5.599,5.16,5.50,7700,5.50
2016-05-16,5.40,5.482,5.05,5.25,9800,5.25
2016-05-09,5.01,5.41,5.01,5.40,7900,5.40
2016-05-02,5.00,5.16,4.845,5.15,8600,5.15
2016-04-25,4.96,5.354,4.93,5.10,17200,5.10
2016-04-22,4.655,4.968,4.655,4.91,19000,4.91
