Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,0.80,0.85,0.80,0.847,2400,0.847
2017-04-10,0.811,0.899,0.80,0.80,2900,0.80
2017-04-03,0.858,0.90,0.829,0.829,4700,0.829
2017-03-27,0.84,0.961,0.84,0.861,2900,0.861
2017-03-20,0.85,0.92,0.84,0.92,11100,0.92
2017-03-13,0.891,0.90,0.84,0.862,6400,0.862
2017-03-06,0.968,0.968,0.851,0.90,10400,0.90
2017-02-27,0.85,0.922,0.82,0.911,5000,0.911
2017-02-20,0.95,0.966,0.849,0.932,11900,0.932
2017-02-13,0.97,1.026,0.896,0.944,11900,0.944
2017-02-06,1.233,1.233,1.009,1.037,34700,1.037
2017-01-30,1.213,1.698,1.213,1.278,27500,1.278
2017-01-23,0.939,1.462,0.939,1.249,42400,1.249
2017-01-16,0.87,0.92,0.795,0.92,21200,0.92
2017-01-09,0.763,0.896,0.754,0.88,8600,0.88
2017-01-02,0.759,0.827,0.72,0.827,2700,0.827
2016-12-26,0.766,0.785,0.709,0.784,2900,0.784
2016-12-19,0.696,0.766,0.696,0.766,1300,0.766
2016-12-12,0.706,0.744,0.695,0.707,7500,0.707
2016-12-05,0.682,0.729,0.668,0.725,12200,0.725
2016-11-28,0.67,0.72,0.67,0.67,3700,0.67
2016-11-21,0.684,0.701,0.682,0.682,10600,0.682
2016-11-14,0.671,0.70,0.671,0.69,4900,0.69
2016-11-07,0.68,0.699,0.67,0.67,200,0.67
2016-10-31,0.732,0.735,0.66,0.699,5100,0.699
2016-10-24,0.746,0.797,0.73,0.73,000,0.73
2016-10-17,0.73,0.783,0.73,0.73,1000,0.73
2016-10-10,0.732,0.79,0.73,0.73,900,0.73
2016-10-03,0.786,0.789,0.733,0.777,3200,0.777
2016-09-26,0.74,0.854,0.74,0.786,3700,0.786
2016-09-19,0.651,0.74,0.65,0.74,5600,0.74
2016-09-12,0.689,0.689,0.637,0.65,300,0.65
2016-09-05,0.621,0.71,0.621,0.66,4500,0.66
2016-08-29,0.68,0.682,0.61,0.669,900,0.669
2016-08-22,0.62,0.69,0.61,0.69,1100,0.69
2016-08-15,0.63,0.65,0.63,0.647,1900,0.647
2016-08-08,0.609,0.65,0.609,0.62,200,0.62
2016-08-01,0.61,0.649,0.60,0.649,4400,0.649
2016-07-25,0.61,0.639,0.61,0.61,100,0.61
2016-07-18,0.61,0.628,0.61,0.613,300,0.613
2016-07-11,0.60,0.61,0.60,0.61,000,0.61
2016-07-04,0.58,0.608,0.58,0.604,100,0.604
2016-06-27,0.557,0.605,0.555,0.605,800,0.605
2016-06-20,0.586,0.61,0.555,0.555,2000,0.555
2016-06-13,0.621,0.648,0.60,0.60,2700,0.60
2016-06-06,0.586,0.65,0.586,0.649,4100,0.649
2016-05-30,0.586,0.612,0.586,0.589,000,0.589
2016-05-23,0.60,0.63,0.586,0.586,2300,0.586
2016-05-16,0.659,0.659,0.60,0.60,000,0.60
2016-05-09,0.622,0.659,0.615,0.659,1100,0.659
2016-05-02,0.66,0.68,0.628,0.629,800,0.629
2016-04-25,0.67,0.699,0.67,0.67,200,0.67
2016-04-22,0.65,0.65,0.65,0.65,000,0.65
