Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,23.09,24.549999,23.00,23.08,3473600,23.08
2017-04-10,21.43,22.959999,21.40,22.75,2189400,22.75
2017-04-03,21.92,23.16,21.60,21.82,2158300,21.82
2017-03-27,22.049999,22.790001,21.65,21.93,1307000,21.93
2017-03-20,23.58,23.67,22.02,22.41,1668500,22.41
2017-03-13,23.110001,23.98,22.450001,23.620001,1865800,23.620001
2017-03-06,23.450001,23.68,22.639999,23.030001,1908200,23.030001
2017-02-27,23.559999,23.620001,22.440001,23.57,2963500,23.57
2017-02-21,24.75,24.799999,23.33,23.58,2330300,23.58
2017-02-13,23.24,25.00,22.58,24.66,3377900,24.66
2017-02-06,23.110001,23.370001,22.66,23.120001,1455700,23.120001
2017-01-30,23.299999,23.66,22.620001,23.08,2212700,23.08
2017-01-23,21.969999,23.83,21.67,23.629999,2200900,23.629999
2017-01-17,21.66,22.120001,21.66,21.870001,1467400,21.870001
2017-01-09,21.719999,22.110001,21.16,21.50,1514700,21.50
2017-01-03,20.440001,22.00,20.200001,21.84,2432900,21.84
2016-12-27,20.42,20.690001,20.059999,20.129999,1056400,20.129999
2016-12-19,20.23,20.93,19.92,20.389999,1544200,20.389999
2016-12-12,20.190001,21.32,19.93,20.25,2835700,20.25
2016-12-05,18.700001,20.01,18.620001,19.860001,1717200,19.860001
2016-11-28,18.65,19.450001,18.280001,18.42,2251800,18.42
2016-11-21,18.74,19.17,18.15,18.629999,2574200,18.629999
2016-11-14,18.40,18.67,17.280001,18.469999,3211800,18.469999
2016-11-07,19.00,20.26,18.209999,18.709999,3450100,18.709999
2016-10-31,19.84,19.99,18.09,18.32,2117700,18.32
2016-10-24,19.99,20.639999,18.84,20.059999,3884600,20.059999
2016-10-17,19.00,20.00,18.65,19.50,2347100,19.50
2016-10-10,22.049999,22.16,18.85,18.93,3262700,18.93
2016-10-03,21.360001,22.299999,21.299999,22.00,1509100,22.00
2016-09-26,21.440001,21.74,21.030001,21.049999,1799300,21.049999
2016-09-19,20.889999,22.10,20.559999,21.57,1589000,21.57
2016-09-12,20.43,21.030001,19.98,20.639999,1847000,20.639999
2016-09-06,22.65,22.84,20.17,20.309999,2937600,20.309999
2016-08-29,22.18,22.65,21.709999,22.389999,1480300,22.389999
2016-08-22,22.34,22.719999,22.00,22.139999,1835500,22.139999
2016-08-15,23.48,23.870001,22.450001,22.48,1916900,22.48
2016-08-08,21.950001,23.540001,21.790001,23.209999,2027400,23.209999
2016-08-01,21.58,22.08,20.93,21.77,2033700,21.77
2016-07-25,21.23,23.17,20.83,21.65,2531400,21.65
2016-07-18,21.52,21.709999,20.950001,21.23,2056100,21.23
2016-07-11,22.290001,23.17,21.35,21.43,2562300,21.43
2016-07-05,21.60,22.27,20.860001,22.08,1932500,22.08
2016-06-27,21.09,22.18,19.540001,21.73,2951000,21.73
2016-06-20,22.299999,22.59,20.969999,21.389999,2526700,21.389999
2016-06-13,21.549999,21.860001,20.51,21.43,2397300,21.43
2016-06-06,21.42,23.200001,21.290001,21.84,3934300,21.84
2016-05-31,20.059999,21.059999,19.959999,20.889999,2176000,20.889999
2016-05-23,19.190001,20.370001,19.040001,19.91,1371300,19.91
2016-05-16,19.85,20.10,18.549999,19.219999,2154200,19.219999
2016-05-09,19.33,20.01,18.98,19.52,2295300,19.52
2016-05-02,20.41,20.77,19.200001,19.879999,3366300,19.879999
2016-04-25,18.26,20.67,17.68,20.469999,4284400,20.469999
2016-04-22,18.40,18.51,17.879999,18.08,1721400,18.08
