Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,32.48,32.950001,32.450001,32.82,13458800,32.82
2017-04-10,32.959999,33.220001,32.419998,32.419998,18785700,32.419998
2017-04-03,33.700001,33.939999,32.889999,32.959999,16960500,32.959999
2017-03-27,33.82,34.209999,33.650002,33.799999,16452800,33.508099
2017-03-20,34.200001,34.470001,33.779999,34.080002,17572100,33.785683
2017-03-13,34.220001,34.48,33.84,34.23,17402700,33.934383
2017-03-06,34.040001,34.299999,33.869999,34.259998,18770800,33.964127
2017-02-27,34.209999,34.529999,34.040001,34.290001,18357000,33.99387
2017-02-21,33.689999,34.32,33.66,34.32,23053200,34.023609
2017-02-13,31.67,33.970001,31.549999,33.740002,36227300,33.44862
2017-02-06,31.290001,31.690001,31.120001,31.51,19178600,31.237877
2017-01-30,30.940001,31.35,30.42,31.32,20067000,31.049517
2017-01-23,30.139999,31.049999,30.09,30.98,20859700,30.712452
2017-01-17,30.00,30.25,29.84,30.10,19331900,29.840054
2017-01-09,30.219999,30.549999,29.799999,30.07,19252500,29.810312
2017-01-03,30.370001,30.559999,30.02,30.23,19736800,29.968929
2016-12-27,30.639999,30.82,30.129999,30.219999,14345800,29.703962
2016-12-19,30.65,30.870001,30.25,30.530001,14449100,30.008671
2016-12-12,30.08,31.07,30.030001,30.59,27337200,30.067644
2016-12-05,29.33,30.33,29.24,30.059999,24225900,29.546694
2016-11-28,30.08,30.10,29.120001,29.25,24862600,28.750526
2016-11-21,30.299999,30.33,29.549999,30.09,24106600,29.576183
2016-11-14,31.43,31.889999,29.610001,30.18,37635100,29.664646
2016-11-07,30.709999,31.76,30.610001,31.360001,28504000,30.824497
2016-10-31,30.34,30.860001,29.629999,30.190001,18880500,29.674475
2016-10-24,30.34,30.860001,30.23,30.59,16850900,30.067644
2016-10-17,30.129999,30.690001,29.92,30.15,15137800,29.635159
2016-10-10,31.540001,31.68,29.860001,30.18,22780600,29.664646
2016-10-03,31.309999,31.68,31.15,31.469999,14297900,30.932617
2016-09-26,31.10,31.799999,30.790001,31.719999,20009100,30.922789
2016-09-19,30.85,31.799999,30.82,31.34,18917100,30.55234
2016-09-12,30.610001,31.50,30.60,30.84,26692800,30.064905
2016-09-06,31.93,31.940001,30.85,30.85,19267800,30.074654
2016-08-29,31.43,31.950001,31.25,31.83,18690400,31.030024
2016-08-22,30.440001,31.66,30.370001,31.35,24134300,30.562088
2016-08-15,30.98,31.24,30.059999,30.52,34851400,29.752949
2016-08-08,31.00,31.25,30.74,30.870001,18463000,30.094152
2016-08-01,30.700001,31.07,30.360001,31.040001,20069200,30.25988
2016-07-25,30.67,31.15,30.370001,30.530001,21100600,29.762697
2016-07-18,29.75,30.870001,29.74,30.709999,25430400,29.938171
2016-07-11,29.34,29.99,29.26,29.82,19874600,29.070539
2016-07-05,28.23,29.280001,28.17,29.26,22250800,28.524614
2016-06-27,27.48,28.93,27.129999,28.799999,25259700,27.82271
2016-06-20,29.040001,29.23,27.700001,27.75,24659400,26.808342
2016-06-13,28.969999,29.190001,28.370001,28.950001,23398500,27.967623
2016-06-06,29.07,29.41,28.77,29.030001,18420100,28.044907
2016-05-31,28.799999,29.209999,28.76,29.129999,22272700,28.141512
2016-05-23,27.780001,29.040001,27.780001,28.92,21614100,27.938639
2016-05-16,26.57,28.290001,26.49,27.969999,32406000,27.020876
2016-05-09,26.52,27.110001,26.389999,26.530001,19901200,25.629742
2016-05-02,27.48,27.52,25.809999,26.530001,28837300,25.629742
2016-04-25,28.110001,28.65,27.139999,27.49,23804700,26.557163
2016-04-22,28.299999,28.549999,28.07,28.15,23147600,27.194767
