Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,44.119999,44.740002,44.00,44.43,10903000,44.43
2017-04-10,44.209999,44.450001,43.759998,44.00,11826200,44.00
2017-04-03,44.68,45.049999,43.990002,44.290001,11931000,44.099998
2017-03-27,44.509998,45.029999,44.360001,44.610001,10404600,44.418629
2017-03-20,45.669998,45.950001,44.580002,44.650002,17413500,44.458458
2017-03-13,42.75,46.990002,42.41,45.66,28069800,45.464123
2017-03-06,42.459999,42.790001,42.25,42.68,10091700,42.496906
2017-02-27,43.259998,43.259998,42.419998,42.689999,11615500,42.506863
2017-02-21,41.990002,43.189999,41.93,43.169998,12727000,42.984802
2017-02-13,40.889999,42.060001,40.75,42.060001,12064800,41.879566
2017-02-06,40.439999,40.919998,40.009998,40.790001,9949800,40.615013
2017-01-30,40.110001,40.43,39.669998,40.43,11250900,40.256557
2017-01-23,39.759998,40.389999,39.43,40.23,11684300,40.057415
2017-01-17,39.07,40.029999,38.889999,39.869999,14786700,39.698959
2017-01-09,38.529999,39.450001,38.470001,39.259998,11657700,39.091576
2017-01-03,38.450001,38.950001,38.299999,38.450001,11872800,38.285053
2016-12-27,38.77,39.040001,38.34,38.450001,7467400,38.135696
2016-12-19,39.029999,39.240002,38.59,38.779999,12095500,38.462997
2016-12-12,40.349998,41.139999,38.759998,39.099998,22498900,38.78038
2016-12-05,38.599998,40.77,38.540001,40.52,12741100,40.188774
2016-11-28,40.130001,40.740002,37.639999,38.50,15702100,38.185287
2016-11-21,39.970001,40.349998,39.669998,40.27,8537300,39.940819
2016-11-14,39.389999,40.490002,38.68,39.860001,13563100,39.534172
2016-11-07,38.73,40.060001,38.389999,39.450001,15100700,39.127522
2016-10-31,38.310001,38.580002,37.98,38.279999,11734700,37.967083
2016-10-24,38.119999,38.639999,38.029999,38.169998,10058500,37.857983
2016-10-17,38.540001,38.689999,37.77,37.93,9892400,37.619946
2016-10-10,38.860001,39.00,37.619999,38.41,11820600,38.096024
2016-10-03,39.200001,39.34,38.610001,38.709999,9820600,38.39357
2016-09-26,39.00,39.619999,38.759998,39.279999,10049200,38.808567
2016-09-19,39.130001,39.799999,39.029999,39.23,13322700,38.759167
2016-09-12,39.959999,41.029999,38.709999,38.919998,21811300,38.452888
2016-09-06,41.369999,41.369999,40.029999,40.029999,12483300,39.549564
2016-08-29,41.48,41.529999,40.779999,41.25,9075200,40.754925
2016-08-22,41.110001,41.639999,40.98,41.259998,9418400,40.764805
2016-08-15,41.00,41.639999,40.950001,41.32,9682900,40.824085
2016-08-08,41.18,41.41,40.860001,41.09,9562700,40.596848
2016-08-01,40.91,41.27,40.580002,41.130001,10762300,40.636368
2016-07-25,40.91,41.400002,40.720001,41.040001,11970500,40.547447
2016-07-18,41.709999,41.84,40.939999,41.080002,10944500,40.586967
2016-07-11,40.900002,41.91,40.75,41.77,11354300,41.268684
2016-07-05,40.330002,41.18,40.02,40.869999,12634500,40.379486
2016-06-27,38.869999,41.16,38.18,40.860001,18349800,40.369606
2016-06-20,39.900002,40.869999,39.02,39.23,21907600,38.617123
2016-06-13,38.50,39.959999,38.080002,39.68,18406700,39.060097
2016-06-06,39.189999,39.740002,38.610001,38.740002,14111000,38.134781
2016-05-31,40.080002,40.299999,38.080002,39.099998,23406100,38.489155
2016-05-23,39.310001,40.290001,39.139999,40.07,8788000,39.444
2016-05-16,39.77,40.099998,38.560001,39.41,11787600,38.794312
2016-05-09,39.34,40.080002,39.220001,39.610001,8763800,38.991188
2016-05-02,39.900002,40.43,38.970001,39.41,9496300,38.794312
2016-04-25,40.59,41.00,39.369999,39.860001,10020200,39.237282
2016-04-22,40.790001,41.43,40.669998,40.700001,15003300,40.064159
