Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,90.230003,91.129997,88.610001,88.620003,7325300,88.620003
2017-04-10,89.129997,90.540001,88.75,90.029999,5617100,89.345848
2017-04-03,89.860001,90.50,89.18,89.230003,6187700,88.551933
2017-03-27,90.449997,91.059998,89.839996,89.849998,7362900,89.167221
2017-03-20,90.959999,91.800003,90.209999,90.57,7973000,89.881744
2017-03-13,91.059998,92.00,90.730003,91.00,13110100,90.308479
2017-03-06,89.889999,91.160004,89.589996,91.07,6557100,90.377945
2017-02-27,90.529999,91.889999,89.889999,90.50,9306800,89.812279
2017-02-21,90.580002,91.800003,90.580002,91.050003,7505900,90.358101
2017-02-13,88.040001,91.360001,87.230003,91.089996,15487400,90.397797
2017-02-06,87.50,88.779999,87.129997,87.970001,8383300,87.301506
2017-01-30,86.779999,88.349998,86.50,87.410004,8302500,86.745766
2017-01-23,87.089996,87.949997,86.019997,86.720001,8414200,86.061005
2017-01-17,83.900002,87.980003,83.879997,87.449997,15171100,86.785454
2017-01-09,84.059998,84.660004,83.239998,84.010002,8955900,82.716057
2017-01-03,83.879997,85.43,83.50,85.029999,7135400,83.720337
2016-12-27,84.900002,84.940002,83.919998,84.080002,4502300,82.784973
2016-12-19,84.75,85.18,83.870003,84.959999,6632900,83.651421
2016-12-12,84.209999,85.739998,83.610001,84.68,12304500,83.375732
2016-12-05,82.559998,84.400002,82.480003,84.370003,8003900,83.070511
2016-11-28,83.129997,83.480003,81.18,82.400002,9377000,81.130852
2016-11-21,82.00,83.459999,81.709999,83.459999,7621200,82.174522
2016-11-14,83.559998,84.580002,81.989998,82.00,10903700,80.737007
2016-11-07,86.019997,87.690002,82.18,83.580002,11899500,82.292679
2016-10-31,87.010002,87.470001,85.07,85.080002,8164500,83.769569
2016-10-24,84.389999,88.080002,84.059998,86.839996,10683500,85.502457
2016-10-17,88.43,88.650002,84.239998,84.330002,11059600,83.031128
2016-10-10,90.190002,90.330002,87.599998,88.43,12572100,86.400902
2016-10-03,89.349998,90.050003,87.949997,90.00,39333800,87.934875
2016-09-26,87.419998,90.220001,86.610001,89.75,82711300,87.690613
2016-09-19,87.919998,89.300003,86.440002,87.760002,41908800,85.746277
2016-09-12,86.040001,88.379997,85.959999,88.050003,19707600,86.029625
2016-09-06,88.25,88.639999,86.239998,86.239998,19362300,84.261147
2016-08-29,87.389999,88.870003,86.980003,88.199997,15845000,86.176178
2016-08-22,87.139999,88.50,86.559998,87.580002,8811600,85.570404
2016-08-15,87.519997,87.57,85.970001,87.309998,6997400,85.306595
2016-08-08,85.610001,87.449997,85.129997,87.040001,6195700,85.042793
2016-08-01,85.440002,87.150002,85.419998,85.779999,8797900,83.811707
2016-07-25,85.529999,86.080002,84.32,85.589996,6432300,83.62606
2016-07-18,86.019997,86.18,84.879997,85.720001,5744200,83.753082
2016-07-11,85.610001,86.889999,84.910004,86.010002,8042500,83.383018
2016-07-05,84.480003,85.949997,84.449997,85.769997,8623100,83.150345
2016-06-27,81.830002,84.989998,80.949997,84.779999,9457300,82.190582
2016-06-20,83.519997,84.209999,81.989998,82.260002,7492300,79.747559
2016-06-13,82.959999,83.610001,82.269997,83.129997,7698000,80.590981
2016-06-06,82.400002,83.339996,82.019997,83.199997,5863600,80.658844
2016-05-31,81.580002,82.489998,80.739998,82.470001,6093800,79.951141
2016-05-23,80.050003,81.769997,79.849998,81.43,5359600,78.942909
2016-05-16,81.010002,82.059998,79.410004,80.019997,7559700,77.575966
2016-05-09,82.209999,82.889999,81.00,81.230003,6084000,78.749016
2016-05-02,80.019997,82.25,80.019997,82.129997,7098900,79.621521
2016-04-25,80.919998,81.50,79.099998,80.120003,9222300,77.67292
2016-04-22,80.400002,80.949997,79.910004,80.949997,8027700,78.477562
