Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,31.780001,34.029999,31.51,33.68,1071400,33.68
2017-04-10,32.009998,32.049999,31.32,31.32,654900,31.32
2017-04-03,32.970001,33.189999,31.98,32.080002,635900,32.080002
2017-03-27,32.25,33.779999,32.150002,33.73,645500,33.73
2017-03-20,32.16,32.41,31.67,32.209999,520700,32.209999
2017-03-13,31.799999,32.18,31.290001,32.09,543100,32.09
2017-03-06,31.32,31.85,30.719999,31.709999,625800,31.709999
2017-02-27,30.90,31.67,30.700001,31.559999,933400,31.559999
2017-02-21,31.190001,31.34,30.84,30.93,722300,30.93
2017-02-13,31.540001,31.780001,31.18,31.34,646900,31.34
2017-02-06,31.790001,32.16,31.639999,31.77,566600,31.77
2017-01-30,29.35,32.220001,29.16,31.66,1379000,31.66
2017-01-23,30.35,31.200001,30.24,30.52,694900,30.52
2017-01-17,31.00,31.059999,30.32,30.50,733400,30.50
2017-01-09,28.74,31.08,28.74,31.02,1109700,31.02
2017-01-03,28.10,29.040001,28.040001,28.959999,949100,28.959999
2016-12-27,28.299999,28.50,27.91,28.030001,458300,28.030001
2016-12-19,28.780001,29.00,28.290001,28.459999,530100,28.459999
2016-12-12,29.24,29.73,28.35,28.440001,874500,28.440001
2016-12-05,27.99,29.559999,27.98,29.40,1056000,29.40
2016-11-28,29.530001,29.629999,27.719999,28.059999,813900,28.059999
2016-11-21,29.65,30.27,29.41,29.50,519800,29.50
2016-11-14,30.15,30.209999,29.15,29.18,840700,29.18
2016-11-07,30.34,30.889999,29.719999,30.110001,1649500,30.110001
2016-10-31,31.610001,31.83,30.379999,30.83,1609600,30.83
2016-10-24,32.220001,32.290001,31.35,31.49,925100,31.49
2016-10-17,32.830002,33.669998,31.99,32.110001,662900,32.110001
2016-10-10,32.689999,33.290001,32.599998,32.889999,906500,32.889999
2016-10-03,32.970001,33.25,32.310001,32.529999,775500,32.529999
2016-09-26,33.32,33.619999,32.650002,33.209999,871400,33.209999
2016-09-19,32.09,34.169998,31.870001,33.599998,919500,33.599998
2016-09-12,32.130001,32.740002,31.700001,31.790001,944400,31.790001
2016-09-06,33.189999,33.860001,32.450001,32.450001,1023700,32.450001
2016-08-29,32.740002,32.950001,31.799999,32.639999,905400,32.639999
2016-08-22,32.970001,33.700001,32.810001,33.18,845700,33.18
2016-08-15,32.779999,33.18,32.080002,32.720001,925700,32.720001
2016-08-08,32.360001,33.139999,32.150002,32.82,808900,32.82
2016-08-01,33.00,33.02,32.049999,32.720001,1056800,32.720001
2016-07-25,29.93,33.50,29.540001,33.41,1534100,33.41
2016-07-18,30.049999,30.59,29.870001,30.209999,714000,30.209999
2016-07-11,31.059999,31.33,29.41,30.040001,1839100,30.040001
2016-07-05,29.389999,30.639999,29.030001,30.59,1440800,30.59
2016-06-27,27.15,29.530001,26.84,29.389999,1514500,29.389999
2016-06-20,28.66,29.219999,27.57,27.60,1314600,27.60
2016-06-13,27.530001,28.26,27.33,27.92,1013300,27.92
2016-06-06,28.60,29.209999,27.889999,28.030001,889100,28.030001
2016-05-31,28.040001,28.219999,27.639999,27.950001,1035500,27.950001
2016-05-23,26.32,28.110001,26.24,28.02,1661100,28.02
2016-05-16,26.23,27.059999,25.870001,26.440001,1197900,26.440001
2016-05-09,24.16,26.67,23.84,26.120001,1843000,26.120001
2016-05-02,24.950001,24.98,23.620001,23.870001,2178600,23.870001
2016-04-25,25.620001,26.26,23.950001,24.10,1564300,24.10
2016-04-22,27.08,27.190001,26.32,26.639999,2935500,26.639999
