Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,7.02,7.06,6.90,6.92,6216400,6.92
2017-04-10,7.12,7.16,7.01,7.03,6301700,7.03
2017-04-03,7.36,7.39,7.01,7.12,8338100,7.12
2017-03-27,7.14,7.43,7.09,7.34,8764500,7.34
2017-03-20,7.38,7.44,7.10,7.19,8424500,7.128287
2017-03-13,7.37,7.45,7.21,7.36,11803300,7.296828
2017-03-06,7.62,7.62,7.30,7.36,11804600,7.296828
2017-02-27,7.53,7.54,7.28,7.36,10590200,7.296828
2017-02-21,7.38,7.69,7.25,7.54,7874700,7.475283
2017-02-13,7.33,7.49,7.25,7.44,8725100,7.376142
2017-02-06,7.10,7.43,7.04,7.30,10374900,7.237343
2017-01-30,6.97,7.27,6.62,7.15,17274000,7.088631
2017-01-23,6.93,7.06,6.86,6.98,10343700,6.92009
2017-01-17,7.04,7.05,6.88,6.94,9704200,6.880433
2017-01-09,7.07,7.14,6.83,7.05,14990100,6.989489
2017-01-03,6.53,7.23,6.46,7.01,37030400,6.949832
2016-12-27,8.95,9.02,8.69,8.73,7623100,5.700646
2016-12-19,9.14,9.27,8.92,8.95,9014600,5.844306
2016-12-12,9.41,9.46,8.95,9.13,19265200,5.961845
2016-12-05,9.55,9.77,9.20,9.46,18996000,6.125524
2016-11-28,9.40,9.55,9.28,9.50,9698000,6.151424
2016-11-21,9.54,9.57,9.22,9.38,7733400,6.073722
2016-11-14,9.41,9.64,9.41,9.44,7698600,6.112573
2016-11-07,9.12,9.70,9.09,9.50,9512800,6.151424
2016-10-31,9.81,9.84,9.15,9.17,7973300,5.937743
2016-10-24,9.59,9.99,9.48,9.84,7343100,6.371581
2016-10-17,9.66,9.79,9.47,9.50,4607800,6.151424
2016-10-10,9.94,10.01,9.52,9.65,6449200,6.248552
2016-10-03,10.18,10.18,9.81,9.90,5349400,6.410431
2016-09-26,9.89,10.31,9.85,10.13,9839400,6.559361
2016-09-19,9.86,10.02,9.81,9.92,5741000,6.37343
2016-09-12,9.51,9.90,9.46,9.80,12048600,6.296332
2016-09-06,9.87,9.91,9.59,9.59,7168200,6.16141
2016-08-29,9.73,9.91,9.67,9.89,6050200,6.354155
2016-08-22,9.66,9.84,9.59,9.73,4871600,6.251358
2016-08-15,9.78,9.88,9.61,9.69,4570100,6.225658
2016-08-08,10.02,10.06,9.76,9.77,4121300,6.277058
2016-08-01,10.33,10.35,9.74,10.00,7930800,6.424828
2016-07-25,9.79,10.32,9.71,10.30,7905000,6.617573
2016-07-18,9.65,9.89,9.55,9.79,3499100,6.289907
2016-07-11,9.56,9.88,9.44,9.65,6238700,6.199959
2016-07-05,9.32,9.60,9.03,9.54,4663500,6.129286
2016-06-27,9.35,9.49,8.93,9.35,6297300,6.007215
2016-06-20,9.92,10.02,9.45,9.45,4537200,6.018608
2016-06-13,9.89,10.00,9.64,9.77,5838400,6.222413
2016-06-06,10.10,10.33,9.85,9.93,4526100,6.324316
2016-05-31,9.85,10.14,9.82,10.06,6795100,6.407111
2016-05-23,9.14,9.85,9.08,9.83,6774200,6.260626
2016-05-16,9.03,9.23,9.01,9.14,5635400,5.821173
2016-05-09,9.44,9.53,9.00,9.03,5842700,5.751114
2016-05-02,9.60,9.65,9.22,9.48,7460800,6.037714
2016-04-25,10.64,10.68,9.51,9.60,18086700,6.114142
2016-04-22,11.14,11.24,11.12,11.17,6695600,7.114058
